Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Sample Profile (Ratio),Tissue_U Area,Tissue_PM Area,Tissue_U Area (top-3 peptides),Tissue_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
996,1177,FBgn0063494,1.00,29,7,7,Deamidation (NQ),4.5189E7,2.899E7,3.455E7,3.8946E7,3.0995E7,2.0663E7,1.976E7,2.4075E7,1.50:1.00:0.96:1.17,3.709E7,3.6748E7,2.5829E7,2.1918E7,1.00:0.85,25015,FBpp0085855
86,29,FBgn0265262,1.00,16,7,7,Oxidation (M),9.4147E6,1.2514E7,1.115E7,1.318E7,6.037E6,8.9276E6,8.175E6,9.4671E6,0.68:1.00:0.92:1.06,1.0965E7,1.2165E7,7.4823E6,8.821E6,1.00:1.18,68376,FBpp0080010
292,646,FBgn0004867,1.00,57,16,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.9859E8,2.2608E8,2.4229E8,2.6346E8,1.7964E8,1.1818E8,1.2772E8,1.355E8,1.52:1.00:1.08:1.15,2.6233E8,2.5288E8,1.4891E8,1.3161E8,1.00:0.88,28900,FBpp0079500
902,902,FBgn0016041,1.00,23,7,7,Oxidation (M),1.2799E7,2.6293E7,1.7569E7,1.5418E7,1.1076E7,1.9403E7,1.3089E7,1.2666E7,0.57:1.00:0.67:0.65,1.9546E7,1.6493E7,1.5239E7,1.2878E7,1.00:0.85,36336,FBpp0071031
104,739,FBgn0002773,0.99,84,20,20,Oxidation (M); Deamidation (NQ),7.3918E8,5.3069E8,7.137E8,6.6977E8,3.8364E8,3.2203E8,4.4152E8,3.8494E8,1.19:1.00:1.37:1.20,6.3494E8,6.9174E8,3.5284E8,4.1323E8,1.00:1.17,23714,FBpp0088688
1067,904,FBgn0010435,0.99,17,8,8,Oxidation (M),1.2397E7,1.5469E7,1.7323E7,1.5309E7,7.347E6,9.9369E6,1.1229E7,9.2603E6,0.74:1.00:1.13:0.93,1.3933E7,1.6316E7,8.642E6,1.0244E7,1.00:1.19,62047,FBpp0072308
471,308,FBgn0027329,0.99,33,16,16,Oxidation (M),3.4853E7,4.7699E7,3.6062E7,3.8618E7,1.1368E7,1.6799E7,1.3001E7,1.1856E7,0.68:1.00:0.77:0.71,4.1276E7,3.734E7,1.4084E7,1.2429E7,1.00:0.88,58246,FBpp0073902
1230,1462,FBgn0002174,0.99,1,1,1,,1.2296E6,5.6431E5,1.0471E6,1.2854E6,1.2296E6,5.6431E5,1.0471E6,1.2854E6,2.18:1.00:1.86:2.28,8.9697E5,1.1662E6,8.9697E5,1.1662E6,1.00:1.30,56137,FBpp0088955
355,220,FBgn0010380,0.99,20,15,15,Carbamidomethylation; Oxidation (M),2.226E7,2.3371E7,2.8885E7,2.8904E7,1.1898E7,1.2578E7,1.4433E7,1.4086E7,0.95:1.00:1.15:1.12,2.2815E7,2.8894E7,1.2238E7,1.4259E7,1.00:1.17,101180,FBpp0074558
2052,1974,FBgn0086708,0.99,2,1,1,,3.7385E5,1.3541E6,9.6853E5,1.3176E6,3.7385E5,1.3541E6,9.6853E5,1.3176E6,0.28:1.00:0.72:0.97,8.6398E5,1.143E6,8.6398E5,1.143E6,1.00:1.32,68855,FBpp0112337
1631,1497,FBgn0036372,0.99,6,3,3,,4.6195E5,7.5279E5,7.0633E5,7.7913E5,4.6195E5,7.5279E5,7.0633E5,7.7913E5,0.61:1.00:0.94:1.03,6.0737E5,7.4273E5,6.0737E5,7.4273E5,1.00:1.22,58729,FBpp0075561
1844,1487,FBgn0000283,0.98,1,1,1,,2.7199E5,4.092E5,4.2451E5,4.127E5,2.7199E5,4.092E5,4.2451E5,4.127E5,0.66:1.00:1.04:1.01,3.4059E5,4.1861E5,3.4059E5,4.1861E5,1.00:1.23,121679,FBpp0082580
57,15,FBgn0000064,0.97,72,26,26,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.3394E9,2.7646E9,2.3655E9,2.0881E9,8.781E8,9.2822E8,7.8913E8,6.9802E8,0.95:1.00:0.85:0.75,2.552E9,2.2268E9,9.0316E8,7.4358E8,1.00:0.82,39561,FBpp0084373
772,505,FBgn0010747,0.97,5,2,2,Oxidation (M),2.8438E6,1.8161E6,2.631E6,3.3887E6,2.8438E6,1.8161E6,2.631E6,3.3887E6,1.57:1.00:1.45:1.87,2.3299E6,3.0098E6,2.3299E6,3.0098E6,1.00:1.29,55866,FBpp0076872
1493,1732,FBgn0030678,0.97,4,2,2,,1.8407E5,8.4779E5,6.6783E5,5.9282E5,1.8407E5,8.4779E5,6.6783E5,5.9282E5,0.22:1.00:0.79:0.70,5.1593E5,6.3032E5,5.1593E5,6.3032E5,1.00:1.22,48298,FBpp0073982
1192,798,FBgn0037182,0.97,9,4,4,Carbamidomethylation; Oxidation (M),1.6857E6,1.9117E6,2.3814E6,1.9304E6,1.6087E6,1.7782E6,2.2525E6,1.8259E6,0.90:1.00:1.27:1.03,1.7987E6,2.1559E6,1.6935E6,2.0392E6,1.00:1.20,59050,FBpp0304160
845,1610,FBgn0035280,0.97,47,6,6,,9.9388E7,5.9663E7,7.2687E7,6.3781E7,9.6602E7,5.7717E7,7.1231E7,5.9568E7,1.67:1.00:1.23:1.03,7.9526E7,6.8234E7,7.716E7,6.54E7,1.00:0.85,21207,FBpp0072669
1810,1621,FBgn0039856,0.97,2,1,1,,4.4151E5,4.2453E5,4.4227E5,6.1435E5,4.4151E5,4.2453E5,4.4227E5,6.1435E5,1.04:1.00:1.04:1.45,4.3302E5,5.2831E5,4.3302E5,5.2831E5,1.00:1.22,54034,FBpp0085159
2547,2800,FBgn0032166,0.97,2,1,1,,1.8319E5,1.7907E5,1.0856E5,1.2728E5,1.8319E5,1.7907E5,1.0856E5,1.2728E5,1.02:1.00:0.61:0.71,1.8113E5,1.1792E5,1.8113E5,1.1792E5,1.00:0.65,64298,FBpp0079479
1238,1398,FBgn0024996,0.97,4,1,1,Carbamidomethylation,9.972E4,5.0289E5,3.816E5,4.3048E5,9.972E4,5.0289E5,3.816E5,4.3048E5,0.20:1.00:0.76:0.86,3.0131E5,4.0604E5,3.0131E5,4.0604E5,1.00:1.35,39154,FBpp0070457
587,740,FBgn0029994,0.97,26,8,8,Carbamidomethylation; Oxidation (M),8.1293E7,3.901E7,4.2457E7,3.9332E7,4.0565E7,2.1839E7,2.4485E7,2.4014E7,1.86:1.00:1.12:1.10,6.0151E7,4.0895E7,3.1202E7,2.425E7,1.00:0.78,35575,FBpp0071071
1281,1107,FBgn0261710,0.97,2,3,3,,4.4167E5,5.1408E5,5.0164E5,6.8176E5,4.4167E5,5.1408E5,5.0164E5,6.8176E5,0.86:1.00:0.98:1.33,4.7788E5,5.917E5,4.7788E5,5.917E5,1.00:1.24,235587,FBpp0298823
2240,2572,FBgn0013678,0.96,4,2,2,,5.6479E6,9.0326E6,8.2741E6,9.0227E6,5.6479E6,9.0326E6,8.2741E6,9.0227E6,0.63:1.00:0.92:1.00,7.3402E6,8.6484E6,7.3402E6,8.6484E6,1.00:1.18,43119,FBpp0390634
1494,1128,FBgn0020018,0.96,5,2,2,Carbamidomethylation,1.4377E6,5.6929E5,1.0444E6,1.5485E6,1.4377E6,5.6929E5,1.0444E6,1.5485E6,2.53:1.00:1.83:2.72,1.0035E6,1.2964E6,1.0035E6,1.2964E6,1.00:1.29,53202,FBpp0084044
644,1145,FBgn0024733,0.96,46,10,10,Carbamidomethylation; Oxidation (M),5.7037E8,3.0551E8,3.3625E8,3.8123E8,5.1646E8,2.8871E8,3.0667E8,3.6665E8,1.79:1.00:1.06:1.27,4.3794E8,3.5874E8,4.0259E8,3.3666E8,1.00:0.84,25528,FBpp0289147
1407,1504,FBgn0024509,0.95,13,4,4,Carbamidomethylation,8.0458E6,1.7882E7,1.4559E7,1.5278E7,6.7745E6,1.3942E7,1.1961E7,1.2701E7,0.49:1.00:0.86:0.91,1.2964E7,1.4918E7,1.0358E7,1.2331E7,1.00:1.19,39528,FBpp0083801
728,555,FBgn0031879,0.95,2,5,5,Oxidation (M),1.1114E6,2.4593E6,2.4019E6,2.3905E6,8.3514E5,2.0981E6,1.7019E6,1.8744E6,0.40:1.00:0.81:0.89,1.7854E6,2.3962E6,1.4666E6,1.7882E6,1.00:1.22,390574,FBpp0297915
895,652,FBgn0031534,0.95,13,5,5,Oxidation (M),3.7375E6,5.3906E6,5.6757E6,5.048E6,2.6946E6,3.7797E6,4.1734E6,3.2517E6,0.71:1.00:1.10:0.86,4.5641E6,5.3619E6,3.2371E6,3.7126E6,1.00:1.15,52195,FBpp0077206
2260,2411,FBgn0033373,0.95,3,1,1,,6.3173E4,3.9544E4,8.369E4,7.2919E4,6.3173E4,3.9544E4,8.369E4,7.2919E4,1.60:1.00:2.12:1.84,5.1358E4,7.8304E4,5.1358E4,7.8304E4,1.00:1.52,46834,FBpp0087714
1544,1908,FBgn0260747,0.95,12,3,3,,1.1167E7,8.0451E6,8.2136E6,7.9001E6,1.0773E7,7.7837E6,7.9175E6,7.5975E6,1.38:1.00:1.02:0.98,9.6059E6,8.0569E6,9.2783E6,7.7575E6,1.00:0.84,17330,FBpp0074161
469,619,FBgn0267975,0.95,18,5,5,Carbamidomethylation,2.8346E7,1.3585E7,1.5035E7,2.2835E7,2.1662E7,1.3066E7,1.2891E7,1.6791E7,1.66:1.00:0.99:1.29,2.0966E7,1.8935E7,1.7364E7,1.4841E7,1.00:0.85,31552,FBpp0301765
947,1472,FBgn0033448,0.94,10,3,3,Deamidation (NQ),5.0716E6,5.1982E6,6.5514E6,5.5606E6,5.0716E6,5.1982E6,6.5514E6,5.5606E6,0.98:1.00:1.26:1.07,5.1349E6,6.056E6,5.1349E6,6.056E6,1.00:1.18,48479,FBpp0087570
933,1383,FBgn0010423,0.94,32,5,5,Oxidation (M),1.0845E7,1.8016E7,6.2078E6,1.8459E7,9.7929E6,1.6757E7,5.9006E6,1.6489E7,0.58:1.00:0.35:0.98,1.443E7,1.2333E7,1.3275E7,1.1195E7,1.00:0.84,17883,FBpp0087280
2151,3504,FBgn0035763,0.94,6,2,2,Oxidation (M),2.9874E6,3.5847E6,3.629E6,4.0968E6,2.9874E6,3.5847E6,3.629E6,4.0968E6,0.83:1.00:1.01:1.14,3.2861E6,3.8629E6,3.2861E6,3.8629E6,1.00:1.18,53299,FBpp0076594
155,37,FBgn0030478,0.94,52,25,25,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.6045E8,1.9756E8,2.8737E8,3.2833E8,1.1188E8,5.5201E7,8.8182E7,1.0429E8,2.03:1.00:1.60:1.89,2.79E8,3.0785E8,8.3541E7,9.6234E7,1.00:1.15,64047,FBpp0073600
1684,2673,FBgn0034066,0.94,10,2,2,,4.4014E6,1.1732E6,3.0319E6,1.5115E6,4.4014E6,1.1732E6,3.0319E6,1.5115E6,3.75:1.00:2.58:1.29,2.7873E6,2.2717E6,2.7873E6,2.2717E6,1.00:0.82,27795,FBpp0086399
526,521,FBgn0004003,0.94,66,16,16,Carbamidomethylation; Oxidation (M),7.4601E7,6.2803E7,7.1246E7,4.9072E7,2.9103E7,2.561E7,2.8603E7,1.9286E7,1.14:1.00:1.12:0.75,6.8702E7,6.0159E7,2.7357E7,2.3945E7,1.00:0.88,29444,FBpp0085698
339,195,FBgn0010621,0.94,29,12,12,Carbamidomethylation; Oxidation (M),1.7091E7,2.4396E7,1.7932E7,2.0918E7,1.0133E7,1.3761E7,1.0253E7,1.0727E7,0.74:1.00:0.75:0.78,2.0743E7,1.9425E7,1.1947E7,1.049E7,1.00:0.88,59279,FBpp0087095
1566,2460,FBgn0264922,0.94,13,1,1,,2.7078E6,2.292E6,2.9628E6,2.9762E6,2.7078E6,2.292E6,2.9628E6,2.9762E6,1.18:1.00:1.29:1.30,2.4999E6,2.9695E6,2.4999E6,2.9695E6,1.00:1.19,10124,FBpp0078984
486,329,FBgn0286198,0.94,11,9,9,Oxidation (M),2.4123E7,2.418E7,2.7764E7,2.4769E7,1.5134E7,1.53E7,1.8061E7,1.6751E7,0.99:1.00:1.18:1.09,2.4151E7,2.6266E7,1.5217E7,1.7406E7,1.00:1.14,103125,FBpp0079118
1697,2376,FBgn0039303,0.93,11,2,2,,2.5934E6,3.5931E6,3.6556E6,4.1714E6,2.5934E6,3.5931E6,3.6556E6,4.1714E6,0.72:1.00:1.02:1.16,3.0932E6,3.9135E6,3.0932E6,3.9135E6,1.00:1.27,29695,FBpp0312547
2650,3338,FBgn0050344,0.93,2,1,1,,1.1112E5,3.739E5,4.591E5,2.7169E5,1.1112E5,3.739E5,4.591E5,2.7169E5,0.30:1.00:1.23:0.73,2.4251E5,3.6539E5,2.4251E5,3.6539E5,1.00:1.51,55904,FBpp0087664
1264,1260,FBgn0030336,0.93,3,2,2,,4.3109E5,1.3802E6,9.1302E5,5.994E5,4.3109E5,1.3802E6,9.1302E5,5.994E5,0.31:1.00:0.66:0.43,9.0563E5,7.5621E5,9.0563E5,7.5621E5,1.00:0.84,97593,FBpp0073444
1208,997,FBgn0040206,0.93,5,2,2,,7.8973E5,2.6108E6,1.982E6,2.0917E6,7.8973E5,2.6108E6,1.982E6,2.0917E6,0.30:1.00:0.76:0.80,1.7003E6,2.0368E6,1.7003E6,2.0368E6,1.00:1.20,51237,FBpp0085236
1514,1310,FBgn0037817,0.92,4,1,1,Oxidation (M); Deamidation (NQ),8.6156E4,1.3076E5,9.4904E4,1.7175E5,8.6156E4,1.3076E5,9.4904E4,1.7175E5,0.66:1.00:0.73:1.31,1.0846E5,1.3333E5,1.0846E5,1.3333E5,1.00:1.23,59684,FBpp0290498
1370,1696,FBgn0037551,0.92,5,1,1,Oxidation (M),3.4409E6,1.9819E6,3.8833E6,2.9174E6,3.4409E6,1.9819E6,3.8833E6,2.9174E6,1.74:1.00:1.96:1.47,2.7114E6,3.4003E6,2.7114E6,3.4003E6,1.00:1.25,21254,FBpp0081290
731,656,FBgn0037270,0.92,23,6,6,,2.6796E7,2.1965E7,3.6973E7,2.0287E7,1.7109E7,1.4693E7,2.1524E7,1.5516E7,1.16:1.00:1.46:1.06,2.4381E7,2.863E7,1.5901E7,1.852E7,1.00:1.16,31105,FBpp0078532
1531,1958,FBgn0015544,0.92,5,2,2,,1.1438E5,2.3712E5,2.0051E5,2.3604E5,1.1438E5,2.3712E5,2.0051E5,2.3604E5,0.48:1.00:0.85:1.00,1.7575E5,2.1827E5,1.7575E5,2.1827E5,1.00:1.24,59636,FBpp0072164
1485,1562,FBgn0259682,0.92,5,4,4,Oxidation (M),5.8746E6,5.9097E6,5.3265E6,4.118E6,5.8012E6,5.8864E6,5.3001E6,4.102E6,0.99:1.00:0.90:0.70,5.8921E6,4.7222E6,5.8438E6,4.701E6,1.00:0.80,62653,FBpp0289220
1512,1355,FBgn0039311,0.92,3,1,1,Oxidation (M),1.2064E5,2.1201E5,1.482E5,3.5227E5,1.2064E5,2.1201E5,1.482E5,3.5227E5,0.57:1.00:0.70:1.66,1.6633E5,2.5024E5,1.6633E5,2.5024E5,1.00:1.50,48888,FBpp0112997
1515,1378,FBgn0031973,0.92,1,1,1,,3.6558E5,5.1126E5,3.1907E5,2.6498E5,3.6558E5,5.1126E5,3.1907E5,2.6498E5,0.72:1.00:0.62:0.52,4.3842E5,2.9202E5,4.3842E5,2.9202E5,1.00:0.67,59350,FBpp0079171
824,527,FBgn0025454,0.92,22,10,10,Oxidation (M),3.3386E7,1.7221E7,2.3683E7,2.1241E7,1.5177E7,9.2029E6,1.1996E7,8.717E6,1.65:1.00:1.30:0.95,2.5303E7,2.2462E7,1.219E7,1.0356E7,1.00:0.85,59867,FBpp0087100
63,245,FBgn0004363,0.92,81,30,30,Deamidation (NQ),2.5663E9,2.0351E9,2.0245E9,1.7676E9,8.4141E8,6.1394E8,6.552E8,6.148E8,1.37:1.00:1.07:1.00,2.3007E9,1.896E9,7.2767E8,6.35E8,1.00:0.87,30550,FBpp0079771
78,163,FBgn0002921,0.92,41,34,34,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.7693E8,4.5075E8,5.2693E8,4.8927E8,8.9457E7,1.0091E8,1.1437E8,9.9601E7,0.89:1.00:1.13:0.99,4.1384E8,5.081E8,9.5185E7,1.0698E8,1.00:1.12,115605,FBpp0088502
2003,2527,FBgn0003744,0.91,2,1,1,,2.37E5,2.0648E5,1.5227E5,1.4328E5,2.37E5,2.0648E5,1.5227E5,1.4328E5,1.15:1.00:0.74:0.69,2.2174E5,1.4778E5,2.2174E5,1.4778E5,1.00:0.67,53333,FBpp0304464
221,275,FBgn0037240,0.91,18,23,23,Carbamidomethylation; Deamidation (NQ),4.175E7,5.7897E7,5.739E7,5.9079E7,1.6501E7,2.0873E7,2.07E7,2.2325E7,0.79:1.00:0.99:1.07,4.9824E7,5.8234E7,1.8687E7,2.1512E7,1.00:1.15,158239,FBpp0078557
1077,1057,FBgn0028546,0.91,24,6,6,Deamidation (NQ),4.842E7,3.1032E7,4.4668E7,2.9411E7,3.4734E7,2.612E7,3.1121E7,2.1121E7,1.33:1.00:1.19:0.81,3.9726E7,3.7039E7,3.0427E7,2.6121E7,1.00:0.86,31850,FBpp0080089
1282,1272,FBgn0259139,0.91,9,4,4,Deamidation (NQ),3.489E6,5.3055E6,5.5763E6,4.8484E6,3.1495E6,4.5493E6,4.9982E6,4.018E6,0.69:1.00:1.10:0.88,4.3972E6,5.2124E6,3.8494E6,4.5081E6,1.00:1.17,61397,FBpp0088856
2054,1879,FBgn0035714,0.91,4,1,1,,7.5227E5,8.4818E5,8.0467E5,1.5838E6,7.5227E5,8.4818E5,8.0467E5,1.5838E6,0.89:1.00:0.95:1.87,8.0023E5,1.1942E6,8.0023E5,1.1942E6,1.00:1.49,28636,FBpp0076652
2640,4087,FBgn0086605,0.91,3,1,1,,2.3691E5,6.5545E5,3.5215E5,2.4529E5,2.3691E5,6.5545E5,3.5215E5,2.4529E5,0.36:1.00:0.54:0.37,4.4618E5,2.9872E5,4.4618E5,2.9872E5,1.00:0.67,38490,FBpp0078589
363,205,FBgn0015575,0.91,30,15,15,Carbamidomethylation; Oxidation (M),4.5406E7,8.8127E7,5.5707E7,6.0919E7,1.9316E7,3.022E7,2.1299E7,2.2774E7,0.64:1.00:0.70:0.75,6.6766E7,5.8313E7,2.4768E7,2.2037E7,1.00:0.89,65436,FBpp0081074
2306,3230,FBgn0262527,0.90,1,1,1,,2.9525E4,2.3933E4,3.5464E4,4.4663E4,2.9525E4,2.3933E4,3.5464E4,4.4663E4,1.23:1.00:1.48:1.87,2.6729E4,4.0063E4,2.6729E4,4.0063E4,1.00:1.50,169778,FBpp0301595
1445,1181,FBgn0036975,0.90,4,2,2,,1.7878E6,1.1559E6,9.8054E5,1.3179E6,1.7878E6,1.1559E6,9.8054E5,1.3179E6,1.55:1.00:0.85:1.14,1.4718E6,1.1492E6,1.4718E6,1.1492E6,1.00:0.78,57462,FBpp0077837
1419,1877,FBgn0285949,0.90,7,1,1,,3.4558E3,1.2771E5,1.181E5,7.8172E4,3.4558E3,1.2771E5,1.181E5,7.8172E4,0.03:1.00:0.92:0.61,6.5584E4,9.8136E4,6.5584E4,9.8136E4,1.00:1.50,14533,FBpp0087608
145,70,FBgn0026418,0.90,33,20,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.6957E7,6.455E7,5.7052E7,5.4452E7,2.0141E7,2.4583E7,2.0061E7,1.9727E7,0.82:1.00:0.82:0.80,5.5753E7,5.5752E7,2.2362E7,1.9894E7,1.00:0.89,91903,FBpp0292999
340,473,FBgn0014455,0.90,39,13,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8.3608E7,3.9297E7,4.8124E7,6.1558E7,4.1573E7,2.3958E7,2.5063E7,3.1284E7,1.74:1.00:1.05:1.31,6.1452E7,5.4841E7,3.2766E7,2.8173E7,1.00:0.86,47367,FBpp0073847
2010,2794,FBgn0032746,0.90,12,2,2,,2.3579E6,1.3215E6,1.3349E6,1.5268E6,2.3579E6,1.3215E6,1.3349E6,1.5268E6,1.78:1.00:1.01:1.16,1.8397E6,1.4308E6,1.8397E6,1.4308E6,1.00:0.78,20845,FBpp0080690
1193,885,FBgn0034792,0.90,7,5,5,Oxidation (M),3.4587E6,3.5827E6,4.7822E6,4.2231E6,2.2114E6,2.9244E6,3.2858E6,2.7833E6,0.76:1.00:1.12:0.95,3.5207E6,4.5026E6,2.5679E6,3.0346E6,1.00:1.18,81081,FBpp0293463
1356,889,FBgn0030344,0.89,5,5,5,Oxidation (M),1.2178E6,2.5844E6,2.8825E6,2.4823E6,1.0978E6,2.2067E6,2.2087E6,1.7131E6,0.50:1.00:1.00:0.78,1.9011E6,2.6824E6,1.6522E6,1.9609E6,1.00:1.19,132763,FBpp0073438
1205,1189,FBgn0266465,0.89,4,2,2,,7.0351E5,1.2639E6,8.7483E5,7.556E5,7.0351E5,1.2639E6,8.7483E5,7.556E5,0.56:1.00:0.69:0.60,9.8369E5,8.1522E5,9.8369E5,8.1522E5,1.00:0.83,69933,FBpp0082840
188,199,FBgn0038349,0.89,22,25,25,Carbamidomethylation; Oxidation (M),2.892E7,3.2562E7,3.8195E7,4.5505E7,1.1154E7,1.1367E7,1.2476E7,1.4011E7,0.98:1.00:1.10:1.23,3.0741E7,4.185E7,1.1261E7,1.3244E7,1.00:1.18,137887,FBpp0082605
1874,2528,FBgn0037383,0.89,13,2,2,,4.588E5,5.6976E5,5.9027E5,7.2087E5,4.588E5,5.6976E5,5.9027E5,7.2087E5,0.81:1.00:1.04:1.27,5.1428E5,6.5557E5,5.1428E5,6.5557E5,1.00:1.27,25695,FBpp0310534
696,492,FBgn0032216,0.89,11,4,4,Deamidation (NQ),1.913E6,2.5E6,1.619E6,2.1725E6,1.8057E6,2.3806E6,1.3018E6,1.9247E6,0.76:1.00:0.55:0.81,2.2065E6,1.8957E6,2.0932E6,1.6133E6,1.00:0.77,53707,FBpp0079650
1674,1348,FBgn0264815,0.89,2,3,3,Carbamidomethylation,2.2986E6,3.3468E6,3.6119E6,3.025E6,2.2986E6,3.3468E6,3.6119E6,3.025E6,0.69:1.00:1.08:0.90,2.8227E6,3.3184E6,2.8227E6,3.3184E6,1.00:1.18,124797,FBpp0306255
2228,2072,FBgn0265082,0.88,0,1,1,Oxidation (M),3.0137E5,5.4349E5,4.4051E5,6.4273E5,3.0137E5,5.4349E5,4.4051E5,6.4273E5,0.55:1.00:0.81:1.18,4.2243E5,5.4162E5,4.2243E5,5.4162E5,1.00:1.28,473482,FBpp0307781
928,685,FBgn0028427,0.88,20,9,9,Carbamidomethylation; Oxidation (M),4.7865E7,2.445E7,3.5652E7,5.0435E7,2.5666E7,1.5931E7,1.9375E7,2.9223E7,1.61:1.00:1.22:1.83,3.6157E7,4.3044E7,2.0798E7,2.4299E7,1.00:1.17,50742,FBpp0077962
775,560,FBgn0086346,0.88,15,12,12,Oxidation (M),1.3683E7,1.7715E7,1.8556E7,1.5711E7,5.8469E6,7.84E6,8.6571E6,7.1181E6,0.75:1.00:1.10:0.91,1.5699E7,1.7134E7,6.8435E6,7.8876E6,1.00:1.15,92539,FBpp0084610
1420,1476,FBgn0030641,0.88,16,2,2,,7.7892E5,5.572E5,5.3244E5,1.0848E6,7.7892E5,5.572E5,5.3244E5,1.0848E6,1.40:1.00:0.96:1.95,6.6806E5,8.086E5,6.6806E5,8.086E5,1.00:1.21,22892,FBpp0073849
361,207,FBgn0038681,0.88,28,11,11,Oxidation (M),4.3172E7,7.0632E7,5.2899E7,4.8159E7,2.8891E7,3.674E7,3.1901E7,2.5186E7,0.79:1.00:0.87:0.69,5.6902E7,5.0529E7,3.2816E7,2.8543E7,1.00:0.87,61777,FBpp0083145
476,460,FBgn0011770,0.88,58,12,12,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.3354E7,5.2593E7,4.6467E7,5.0672E7,4.3322E7,2.5941E7,2.9492E7,2.7018E7,1.67:1.00:1.14:1.04,5.7974E7,4.857E7,3.4632E7,2.8255E7,1.00:0.82,29093,FBpp0071406
1657,1839,FBgn0043806,0.88,12,3,3,Carbamidomethylation; Deamidation (NQ),2.8722E6,1.6422E6,2.6303E6,2.7883E6,2.8411E6,1.6093E6,2.5741E6,2.7606E6,1.77:1.00:1.60:1.72,2.2572E6,2.7093E6,2.2252E6,2.6674E6,1.00:1.20,32177,FBpp0076256
2155,4476,FBgn0052638,0.88,10,1,1,,3.8402E6,5.1362E6,2.5723E6,3.5358E6,3.8402E6,5.1362E6,2.5723E6,3.5358E6,0.75:1.00:0.50:0.69,4.4882E6,3.054E6,4.4882E6,3.054E6,1.00:0.68,17721,FBpp0289681
413,408,FBgn0037513,0.88,26,7,7,Carbamidomethylation; Oxidation (M),5.1202E6,1.019E7,7.4684E6,1.0189E7,3.7335E6,5.895E6,4.9246E6,6.4108E6,0.63:1.00:0.84:1.09,7.655E6,8.8289E6,4.8143E6,5.6677E6,1.00:1.18,43800,FBpp0081276
833,832,FBgn0050022,0.88,34,8,8,Carbamidomethylation; Oxidation (M),4.2805E6,3.8419E6,4.6168E6,4.8281E6,2.6903E6,2.5601E6,2.7583E6,3.4497E6,1.05:1.00:1.08:1.35,4.0612E6,4.7224E6,2.6252E6,3.104E6,1.00:1.18,31402,FBpp0288428
1864,1747,FBgn0028424,0.88,2,1,1,,3.2113E5,2.8168E5,3.8812E5,5.031E5,3.2113E5,2.8168E5,3.8812E5,5.031E5,1.14:1.00:1.38:1.79,3.014E5,4.4561E5,3.014E5,4.4561E5,1.00:1.48,50976,FBpp0086283
591,559,FBgn0031428,0.88,17,7,7,Carbamidomethylation,7.3326E6,3.983E6,6.6769E6,7.6917E6,4.2797E6,2.7513E6,3.8268E6,4.4786E6,1.56:1.00:1.39:1.63,5.6578E6,7.1843E6,3.5155E6,4.1527E6,1.00:1.18,52792,FBpp0077450
2422,2601,FBgn0054039,0.88,5,1,1,,1.7863E5,1.3097E5,1.0436E5,1.0496E5,1.7863E5,1.3097E5,1.0436E5,1.0496E5,1.36:1.00:0.80:0.80,1.548E5,1.0466E5,1.548E5,1.0466E5,1.00:0.68,22053,FBpp0290236
1348,1004,FBgn0035490,0.88,13,4,4,,5.4282E6,6.9059E6,6.3147E6,8.255E6,5.3836E6,6.2255E6,6.1038E6,7.8941E6,0.86:1.00:0.98:1.27,6.1671E6,7.2849E6,5.8046E6,6.999E6,1.00:1.21,49380,FBpp0073059
650,543,FBgn0011638,0.88,30,8,8,,5.5328E6,6.3907E6,7.2465E6,9.7703E6,3.5716E6,4.3662E6,4.4754E6,5.3178E6,0.82:1.00:1.03:1.22,5.9617E6,8.5084E6,3.9689E6,4.8966E6,1.00:1.23,44885,FBpp0080906
273,797,FBgn0003517,0.88,48,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.0419E8,1.0939E8,1.2052E8,1.1216E8,6.3702E7,8.3568E7,9.2787E7,8.7962E7,0.76:1.00:1.11:1.05,1.0679E8,1.1634E8,7.3635E7,9.0375E7,1.00:1.23,30228,FBpp0070277
54,19,FBgn0004397,0.88,62,49,49,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.3099E8,4.0993E8,5.2095E8,5.0535E8,7.1279E7,7.1117E7,8.4368E7,7.8579E7,1.00:1.00:1.19:1.10,4.2046E8,5.1315E8,7.1198E7,8.1473E7,1.00:1.14,106302,FBpp0070404
