Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Fluid_U Area,Fluid_PM Area,Fluid_U Area (top-3 peptides),Fluid_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
874,776,FBgn0030007,26.43,5,3,3,,1.4793E6,3.0667E5,6.5052E5,2.1516E6,1.4793E6,3.0667E5,6.5052E5,2.1516E6,1.00:0.21:0.44:1.45,8.9297E5,1.4011E6,8.9297E5,1.4011E6,1.00:1.57,55684,FBpp0071138
644,624,FBgn0028983,25.89,12,4,4,,1.7538E6,6.341E5,6.9951E6,2.8154E6,1.569E6,4.9932E5,5.7324E6,2.4426E6,1.00:0.32:3.65:1.56,1.194E6,4.9052E6,1.0342E6,4.0875E6,1.00:3.95,42148,FBpp0085912
369,233,FBgn0023023,25.54,41,17,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8.8308E7,6.2268E7,6.2905E7,3.7253E7,3.231E7,2.853E7,2.6062E7,1.4134E7,1.00:0.88:0.81:0.44,8.1668E7,5.0208E7,3.042E7,2.0098E7,1.00:0.66,65101,FBpp0112945
615,785,FBgn0039849,25.37,20,5,5,Oxidation (M),8.1184E6,2.3041E7,2.5698E7,6.4267E4,6.0799E6,1.9612E7,1.7003E7,0,1.00:3.23:2.80:0,1.558E7,2.4222E7,1.2846E7,1.7003E7,1.00:1.32,39108,FBpp0085169
1,82,FBgn0005666,25.36,37,251,251,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.1508E9,1.2198E9,8.996E8,5.1915E8,4.1802E7,6.2935E7,5.1121E7,1.8198E7,1.00:1.51:1.22:0.44,1.201E9,7.2197E8,5.2599E7,3.466E7,1.00:0.66,1000102,FBpp0290554
202,338,FBgn0000557,25.33,18,4,4,Carbamidomethylation; Oxidation (M); Deamidation (NQ),7.6162E6,3.1932E6,1.1507E7,5.5314E6,7.0598E6,3.1553E6,1.0001E7,5.4305E6,1.00:0.45:1.42:0.77,5.6736E6,9.2375E6,5.1075E6,7.7158E6,1.00:1.51,50663,FBpp0085193
1035,1092,FBgn0039790,25.25,3,1,1,,1.512E4,0,5.518E4,2.0908E5,1.512E4,0,5.518E4,2.0908E5,1.00:0:3.65:13.83,1.512E4,1.3213E5,1.512E4,1.3213E5,1.00:8.74,44821,FBpp0085035
488,1554,FBgn0034860,25.15,4,1,1,,6.3364E5,3.1428E5,7.4311E5,6.8609E5,6.3364E5,3.1428E5,7.4311E5,6.8609E5,1.00:0.50:1.17:1.08,4.7396E5,7.146E5,4.7396E5,7.146E5,1.00:1.51,34482,FBpp0297280
215,107,FBgn0023537,25.04,9,3,3,,9.0496E5,9.6913E5,1.2926E6,2.4922E6,9.0496E5,9.6913E5,1.2926E6,2.4922E6,1.00:1.07:1.43:2.75,1.0754E6,1.8924E6,1.0754E6,1.8924E6,1.00:1.76,55972,FBpp0070087
267,196,FBgn0002069,24.99,21,9,9,,1.5844E7,1.3862E7,1.141E7,8.8086E6,7.7926E6,6.4921E6,4.6004E6,4.8885E6,1.00:0.83:0.59:0.63,1.5293E7,1.1946E7,7.1424E6,6.3038E6,1.00:0.88,59059,FBpp0086897
966,929,FBgn0026259,24.84,2,2,2,,1.4177E6,2.5496E6,1.6168E6,1.0226E6,1.4177E6,2.5496E6,1.6168E6,1.0226E6,1.00:1.80:1.14:0.72,1.9837E6,1.3197E6,1.9837E6,1.3197E6,1.00:0.67,127203,FBpp0073003
727,1120,FBgn0015218,24.82,24,4,4,,5.3348E6,9.9519E5,8.7894E6,3.4959E6,3.9107E6,7.9487E5,7.3734E6,2.9771E6,1.00:0.20:1.89:0.76,3.165E6,6.1426E6,2.3528E6,5.1753E6,1.00:2.20,29224,FBpp0076218
766,954,FBgn0034246,24.80,1,1,1,,6.5014E5,1.4501E6,4.2851E5,5.3774E5,6.5014E5,1.4501E6,4.2851E5,5.3774E5,1.00:2.23:0.66:0.83,1.0501E6,4.8312E5,1.0501E6,4.8312E5,1.00:0.46,197764,FBpp0086061
443,305,FBgn0028686,24.53,20,7,7,,3.7306E6,1.0114E7,6.4468E6,1.4687E7,1.8642E6,7.8417E6,3.3397E6,1.1205E7,1.00:4.21:1.79:6.01,6.9222E6,1.0567E7,4.853E6,7.2723E6,1.00:1.50,46999,FBpp0073292
1006,1048,FBgn0264491,24.30,9,3,3,,2.0134E6,2.8286E6,3.6801E6,3.5597E6,2.0134E6,2.8286E6,3.6801E6,3.5597E6,1.00:1.40:1.83:1.77,2.421E6,3.6199E6,2.421E6,3.6199E6,1.00:1.50,45644,FBpp0307182
772,721,FBgn0036300,24.05,11,2,2,,5.0725E5,7.4556E5,4.911E6,1.6488E6,5.0725E5,7.4556E5,4.911E6,1.6488E6,1.00:1.47:9.68:3.25,6.2641E5,3.2799E6,6.2641E5,3.2799E6,1.00:5.24,29667,FBpp0075693
101,211,FBgn0000053,24.04,32,38,38,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.0347E8,2.1015E8,1.7869E8,1.4776E8,5.0191E7,5.3914E7,3.6575E7,3.3236E7,1.00:1.07:0.73:0.66,2.0829E8,1.6323E8,5.2053E7,3.4906E7,1.00:0.67,144525,FBpp0079059
452,315,FBgn0031589,23.93,8,3,3,Carbamidomethylation,6.1973E5,7.0977E5,1.7507E6,1.1229E6,6.1973E5,7.0977E5,1.7507E6,1.1229E6,1.00:1.15:2.82:1.81,8.5318E5,1.4368E6,8.5318E5,1.4368E6,1.00:1.68,73971,FBpp0077168
610,439,FBgn0286781,23.87,7,3,3,Carbamidomethylation; Oxidation (M),2.1905E6,2.7351E6,1.332E6,1.3072E6,2.1905E6,2.7351E6,1.332E6,1.3072E6,1.00:1.25:0.61:0.60,2.4628E6,1.3196E6,2.4628E6,1.3196E6,1.00:0.54,59930,FBpp0080554
133,244,FBgn0003137,23.83,5,12,12,Carbamidomethylation; Deamidation (NQ),9.9329E6,1.4266E7,1.0155E7,7.3577E6,6.5519E6,9.3577E6,5.3631E6,5.328E6,1.00:1.43:0.82:0.81,1.24E7,9.5181E6,7.9548E6,5.3456E6,1.00:0.67,313034,FBpp0291051
188,180,FBgn0028325,23.63,10,4,4,,1.7716E6,4.8233E6,8.4787E6,0,1.3504E6,3.522E6,7.2357E6,0,1.00:2.61:5.36:0,3.2974E6,8.4787E6,2.4362E6,7.2357E6,1.00:2.97,48876,FBpp0070679
173,384,FBgn0031908,23.41,70,20,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.0037E9,5.5898E8,1.4402E9,1.1039E9,4.2776E8,2.5926E8,5.3003E8,4.8797E8,1.00:0.61:1.24:1.14,7.8559E8,1.2724E9,3.4351E8,5.0934E8,1.00:1.48,31253,FBpp0079069
442,343,FBgn0022382,23.11,31,9,9,Oxidation (M),1.7397E7,1.1573E7,1.5371E7,3.3876E7,1.1864E7,9.3991E6,9.9633E6,2.1448E7,1.00:0.79:0.84:1.81,1.4616E7,2.4623E7,1.0631E7,1.5705E7,1.00:1.48,42748,FBpp0087523
1703,3596,FBgn0036157,23.07,3,1,1,,3.6811E5,0,1.222E6,6.4959E5,3.6811E5,0,1.222E6,6.4959E5,1.00:0:3.32:1.76,3.6811E5,9.3581E5,3.6811E5,9.3581E5,1.00:2.54,39370,FBpp0075903
465,380,FBgn0001624,22.94,12,9,9,Oxidation (M),1.8313E7,1.255E7,8.2193E6,1.2316E7,1.1542E7,5.7444E6,4.4634E6,7.2592E6,1.00:0.50:0.39:0.63,1.6231E7,1.0347E7,9.4429E6,5.8613E6,1.00:0.62,112503,FBpp0290503
643,688,FBgn0037974,22.85,12,3,3,Carbamidomethylation,3.8056E6,1.6237E4,5.821E6,5.5023E6,3.8056E6,1.6237E4,5.821E6,5.5023E6,1.00:0.02:1.53:1.45,2.9018E6,5.6617E6,2.9018E6,5.6617E6,1.00:1.95,37785,FBpp0423282
706,541,FBgn0051374,22.68,1,1,1,,6.6533E5,5.1025E5,1.1128E6,6.1614E5,6.6533E5,5.1025E5,1.1128E6,6.1614E5,1.00:0.77:1.67:0.93,5.8779E5,8.6448E5,5.8779E5,8.6448E5,1.00:1.47,104907,FBpp0081877
64,167,FBgn0267348,22.65,10,12,12,,2.0636E7,2.1362E7,2.2683E7,9.8033E6,1.2667E7,1.2168E7,1.2348E7,4.5444E6,1.00:0.96:0.97:0.36,2.298E7,1.6744E7,1.2418E7,8.4462E6,1.00:0.68,182339,FBpp0076111
569,566,FBgn0001108,22.43,6,7,7,,9.3264E6,1.398E7,8.2205E6,6.0399E6,4.9193E6,9.0429E6,5.7131E6,3.8058E6,1.00:1.84:1.16:0.77,1.1653E7,7.1302E6,6.9811E6,4.7594E6,1.00:0.68,141217,FBpp0075498
293,322,FBgn0261458,22.33,27,14,14,Carbamidomethylation; Oxidation (M),7.6998E7,4.3981E7,1.3561E8,1.3424E8,4.0327E7,3.2702E7,6.664E7,6.204E7,1.00:0.81:1.65:1.54,7.2417E7,1.351E8,4.2684E7,6.434E7,1.00:1.51,84486,FBpp0099391
318,195,FBgn0010621,22.09,23,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.1301E7,1.1098E7,1.158E7,8.0304E6,1.0396E7,6.4509E6,6.6231E6,4.9032E6,1.00:0.62:0.64:0.47,1.6315E7,9.805E6,8.4237E6,5.7632E6,1.00:0.68,59279,FBpp0087095
648,842,FBgn0034577,22.08,3,1,1,,5.3507E5,3.7769E5,5.0781E5,0,5.3507E5,3.7769E5,5.0781E5,0,1.00:0.71:0.95:0,4.5638E5,5.0781E5,4.5638E5,5.0781E5,1.00:1.11,32759,FBpp0071461
540,432,FBgn0036837,22.00,7,5,5,,9.6968E6,1.1328E6,4.0252E6,4.0023E6,8.3299E6,1.0301E6,3.4023E6,3.0076E6,1.00:0.12:0.41:0.36,5.4148E6,4.1948E6,4.68E6,3.2049E6,1.00:0.68,86748,FBpp0074812
626,813,FBgn0037024,21.94,20,6,6,Oxidation (M),7.7871E6,1.7738E5,7.6811E6,6.5098E6,6.0145E6,1.7738E5,4.7535E6,4.2823E6,1.00:0.03:0.79:0.71,4.8685E6,7.0954E6,3.096E6,4.5179E6,1.00:1.46,38857,FBpp0077912
482,415,FBgn0034258,21.85,8,7,7,,9.0497E6,9.3278E6,4.178E6,8.5529E6,6.7882E6,7.0177E6,3.2286E6,6.2408E6,1.00:1.03:0.48:0.92,9.1888E6,6.4031E6,6.9029E6,4.7347E6,1.00:0.69,105654,FBpp0086013
273,362,FBgn0261243,21.75,21,20,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.5124E7,2.6239E7,1.3953E7,3.5994E7,1.2314E7,1.0694E7,3.6586E6,1.2139E7,1.00:0.87:0.30:0.99,3.0843E7,2.5035E7,1.1504E7,7.8987E6,1.00:0.69,122758,FBpp0072583
1518,2653,FBgn0020545,21.70,4,1,1,,1.239E5,0,5.6682E5,2.7666E5,1.239E5,0,5.6682E5,2.7666E5,1.00:0:4.57:2.23,1.239E5,4.2174E5,1.239E5,4.2174E5,1.00:3.40,37094,FBpp0077681
81,3,FBgn0260049,21.60,56,27,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.1063E8,4.2147E8,3.0327E8,2.4378E8,1.486E8,8.9471E7,1.028E8,6.0925E7,1.00:0.60:0.69:0.41,4.6958E8,2.7355E8,1.1944E8,8.1864E7,1.00:0.69,66550,FBpp0075581
422,289,FBgn0027348,21.42,11,5,5,Oxidation (M),2.9702E6,2.3551E6,4.802E6,1.2452E6,2.9702E6,6.9504E5,4.4668E6,8.526E5,1.00:0.23:1.50:0.29,4.6091E6,3.7661E6,2.9491E6,3.2934E6,1.00:1.12,73611,FBpp0080167
846,1214,FBgn0013325,21.38,8,1,1,,7.4587E6,1.0859E5,3.7299E6,7.2478E6,7.4587E6,1.0859E5,3.7299E6,7.2478E6,1.00:0.02:0.50:0.97,7.3986E6,5.4889E6,7.3986E6,5.4889E6,1.00:0.74,21112,FBpp0085717
589,603,FBgn0022213,21.36,5,5,5,,5.3135E6,3.3455E6,1.7989E6,4.1421E6,3.6273E6,2.9073E6,1.1009E6,3.4047E6,1.00:0.80:0.30:0.94,4.3295E6,2.9705E6,3.2673E6,2.2528E6,1.00:0.69,110141,FBpp0080484
1124,1405,FBgn0267823,21.27,5,1,1,,3.4272E5,1.1352E4,3.9212E5,1.2093E5,3.4272E5,1.1352E4,3.9212E5,1.2093E5,1.00:0.03:1.14:0.35,1.7704E5,2.5653E5,1.7704E5,2.5653E5,1.00:1.45,36123,FBpp0071816
154,131,FBgn0267408,21.14,16,15,15,Carbamidomethylation; Oxidation (M),2.6809E7,9.0288E7,5.433E7,3.019E7,6.6584E6,6.1544E7,3.675E7,1.0386E7,1.00:9.24:5.52:1.56,5.8843E7,4.226E7,3.4101E7,2.3568E7,1.00:0.69,139125,FBpp0082608
651,575,FBgn0028691,21.13,19,7,7,Oxidation (M),8.197E6,1.5877E7,1.9363E7,1.3444E6,6.8192E6,1.4098E7,1.4011E7,3.7357E5,1.00:2.07:2.05:0.05,1.2099E7,1.1793E7,1.0459E7,7.1924E6,1.00:0.69,43767,FBpp0083860
351,266,FBgn0052626,21.13,18,14,14,Oxidation (M),2.5436E7,2.5249E7,1.0656E7,2.3362E7,8.7698E6,1.0747E7,4.1745E6,9.3154E6,1.00:1.23:0.48:1.06,2.6238E7,1.7009E7,9.7584E6,6.7449E6,1.00:0.69,91522,FBpp0309386
1245,1454,FBgn0029863,21.06,3,1,1,Carbamidomethylation; Oxidation (M),8.7475E4,0,3.2751E5,1.6618E5,8.7475E4,0,3.2751E5,1.6618E5,1.00:0:3.74:1.90,8.7475E4,2.4684E5,8.7475E4,2.4684E5,1.00:2.82,34138,FBpp0070865
683,560,FBgn0086346,21.03,15,12,12,Oxidation (M),1.7643E7,1.8132E7,5.695E6,2.5222E7,1.0169E7,9.365E6,1.572E6,1.1943E7,1.00:0.92:0.15:1.17,1.7887E7,1.554E7,9.7668E6,6.839E6,1.00:0.70,92539,FBpp0084610
828,1757,FBgn0058045,20.99,26,3,3,,7.4714E5,7.0622E4,1.4422E6,2.2026E5,7.4714E5,7.0622E4,1.4422E6,2.2026E5,1.00:0.09:1.93:0.29,5.9752E5,1.0729E6,5.9752E5,1.0729E6,1.00:1.80,19366,FBpp0110481
203,60,FBgn0004057,20.91,34,13,13,Carbamidomethylation; Oxidation (M),3.2706E7,2.2132E7,2.8437E7,1.5457E7,1.4688E7,8.5648E6,9.4774E6,5.532E6,1.00:0.58:0.65:0.38,2.7742E7,2.2131E7,1.1626E7,7.5047E6,1.00:0.65,60415,FBpp0074517
571,632,FBgn0035679,20.83,11,3,3,Oxidation (M); Deamidation (NQ),1.991E6,5.5576E6,4.1755E6,1.5851E5,1.991E6,5.5576E6,4.1755E6,1.5851E5,1.00:2.79:2.10:0.08,3.7743E6,3.3716E6,3.7743E6,3.3716E6,1.00:0.89,39627,FBpp0076771
763,879,FBgn0038115,20.72,24,8,8,Carbamidomethylation; Oxidation (M),5.7593E6,2.9848E6,6.6669E6,8.5595E6,2.0169E6,2.8035E6,4.7876E6,4.5341E6,1.00:1.39:2.37:2.25,5.8806E6,7.6132E6,3.1797E6,4.6609E6,1.00:1.47,54620,FBpp0082183
764,668,FBgn0040227,20.71,4,2,2,,3.7909E6,7.7052E6,5.166E6,2.8159E6,3.7909E6,7.7052E6,5.166E6,2.8159E6,1.00:2.03:1.36:0.74,5.748E6,3.991E6,5.748E6,3.991E6,1.00:0.69,63798,FBpp0088565
352,376,FBgn0283658,20.50,2,1,1,,2.6492E5,2.7434E4,1.6381E5,4.2817E5,2.6492E5,2.7434E4,1.6381E5,4.2817E5,1.00:0.10:0.62:1.62,1.4618E5,2.9599E5,1.4618E5,2.9599E5,1.00:2.02,54252,FBpp0079072
26,35,FBgn0020236,20.24,56,49,49,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.7674E8,7.9702E8,2.6297E8,4.9519E8,1.2806E8,1.2286E8,5.564E7,8.5355E7,1.00:0.96:0.43:0.67,7.6176E8,3.8474E8,1.2546E8,7.0673E7,1.00:0.56,121405,FBpp0289823
960,1531,FBgn0042187,20.17,10,2,2,Carbamidomethylation,1.3709E6,4.0874E6,9.9575E5,1.3884E6,1.3709E6,4.0874E6,9.9575E5,1.3884E6,1.00:2.98:0.73:1.01,2.7292E6,1.1921E6,2.7292E6,1.1921E6,1.00:0.44,27516,FBpp0077433
1044,1142,FBgn0030321,20.12,4,3,3,,1.6605E6,2.4045E6,1.2668E6,1.0138E6,1.6605E6,2.4045E6,1.2668E6,1.0138E6,1.00:1.45:0.76:0.61,2.0325E6,1.1403E6,2.0325E6,1.1403E6,1.00:0.56,101543,FBpp0073367
494,354,FBgn0086443,19.98,18,8,8,Oxidation (M),1.879E7,2.1621E7,1.6058E7,1.1073E7,1.4616E7,1.2731E7,1.0478E7,8.6609E6,1.00:0.87:0.72:0.59,2.1826E7,1.4521E7,1.3673E7,9.5697E6,1.00:0.70,63932,FBpp0080705
234,173,FBgn0027088,19.96,21,14,14,,3.5559E7,1.5666E7,2.2014E7,1.5938E7,1.4994E7,1.408E7,6.1971E6,7.7067E6,1.00:0.94:0.41:0.51,3.2579E7,2.0129E7,1.6415E7,7.3919E6,1.00:0.45,85192,FBpp0075386
729,795,FBgn0027090,19.85,9,6,6,,4.4124E6,6.5391E6,1.8588E6,5.6156E6,2.601E6,5.5993E6,1.3877E6,3.5234E6,1.00:2.15:0.53:1.35,5.4758E6,3.7372E6,4.1001E6,2.4556E6,1.00:0.60,87508,FBpp0084240
802,773,FBgn0027932,19.65,2,1,1,,2.6809E5,8.9631E5,1.2839E5,6.8956E5,2.6809E5,8.9631E5,1.2839E5,6.8956E5,1.00:3.34:0.48:2.57,5.822E5,4.0898E5,5.822E5,4.0898E5,1.00:0.70,88133,FBpp0079282
564,563,FBgn0036258,19.43,16,8,8,Carbamidomethylation; Oxidation (M),1.1778E7,1.2852E7,1.3654E7,7.3062E6,6.7393E6,8.9313E6,6.4213E6,4.6134E6,1.00:1.33:0.95:0.68,1.2463E7,1.0579E7,7.8353E6,5.5174E6,1.00:0.70,63223,FBpp0075754
982,1002,FBgn0034029,19.40,2,1,1,,2.0211E5,3.0739E5,2.3537E5,4.201E4,2.0211E5,3.0739E5,2.3537E5,4.201E4,1.00:1.52:1.16:0.21,2.5475E5,2.4934E5,2.5475E5,2.4934E5,1.00:0.98,50671,FBpp0086469
525,877,FBgn0038947,19.37,7,1,1,,4.7591E5,0,1.5797E5,5.8841E5,4.7591E5,0,1.5797E5,5.8841E5,1.00:0:0.33:1.24,4.7591E5,3.7319E5,4.7591E5,3.7319E5,1.00:0.78,21811,FBpp0083604
239,53,FBgn0030731,19.31,4,2,2,,3.5899E5,4.7503E5,3.1642E5,1.0896E5,3.5899E5,4.7503E5,3.1642E5,1.0896E5,1.00:1.32:0.88:0.30,4.1701E5,2.1269E5,4.1701E5,2.1269E5,1.00:0.51,64073,FBpp0073988
816,712,FBgn0016917,19.23,8,5,5,Carbamidomethylation; Oxidation (M),3.6003E6,1.6646E6,7.9298E6,1.6723E6,2.9159E6,1.2236E6,6.4878E6,1.1715E6,1.00:0.42:2.22:0.40,3.5057E6,4.801E6,2.943E6,3.8297E6,1.00:1.30,92573,FBpp0306651
372,303,FBgn0037975,19.11,27,8,8,Oxidation (M),6.8998E7,8.5067E5,7.8891E7,6.9503E7,4.5645E7,2.269E5,4.112E7,4.8859E7,1.00:0.02:0.90:1.07,3.8928E7,7.4197E7,2.2936E7,4.499E7,1.00:1.96,38086,FBpp0081978
110,125,FBgn0039897,19.08,18,13,13,,5.082E7,6.2303E7,2.7783E7,4.2905E7,2.7544E7,3.7473E7,2.0482E7,2.093E7,1.00:1.36:0.74:0.76,5.7E7,3.5344E7,3.2947E7,2.0706E7,1.00:0.63,101617,FBpp0300430
1122,1073,FBgn0037372,19.08,6,2,2,,3.1745E5,6.9433E4,8.6288E5,8.4184E5,3.1745E5,6.9433E4,8.6288E5,8.4184E5,1.00:0.22:2.72:2.65,2.6008E5,8.5236E5,2.6008E5,8.5236E5,1.00:3.28,42998,FBpp0078327
1336,1933,FBgn0031048,19.07,4,1,1,,2.2636E5,9.1842E3,3.3098E5,2.0923E5,2.2636E5,9.1842E3,3.3098E5,2.0923E5,1.00:0.04:1.46:0.92,1.1777E5,2.701E5,1.1777E5,2.701E5,1.00:2.29,34621,FBpp0074530
822,1330,FBgn0042138,19.03,4,1,1,,0,1.8706E6,6.8228E5,0,0,1.8706E6,6.8228E5,0,-:64.00:64.00:-,1.8706E6,6.8228E5,1.8706E6,6.8228E5,1.00:0.36,25030,FBpp0303935
163,248,FBgn0003360,18.97,4,1,1,,3.422E5,3.6158E5,5.6636E4,1.4272E5,3.422E5,3.6158E5,5.6636E4,1.4272E5,1.00:1.06:0.17:0.42,3.5189E5,9.9678E4,3.5189E5,9.9678E4,1.00:0.28,34215,FBpp0073278
1196,2126,FBgn0038080,18.93,13,1,1,,7.2338E5,3.6134E5,1.7018E6,6.9196E5,7.2338E5,3.6134E5,1.7018E6,6.9196E5,1.00:0.50:2.35:0.96,5.4236E5,1.1969E6,5.4236E5,1.1969E6,1.00:2.21,12061,FBpp0082125
201,18,FBgn0001942,18.81,59,23,23,Carbamidomethylation; Oxidation (M),2.4142E8,4.8043E8,2.9069E8,4.5597E8,6.2326E7,1.8432E8,7.0705E7,1.0319E8,1.00:2.96:1.13:1.66,3.7497E8,3.7344E8,1.2332E8,8.6947E7,1.00:0.71,45879,FBpp0078806
1071,1585,FBgn0039008,18.62,19,4,4,Carbamidomethylation; Oxidation (M),4.8824E6,1.8779E6,6.0115E6,4.0281E6,4.5529E6,1.8779E6,5.3425E6,3.7068E6,1.00:0.41:1.17:0.81,4.9439E6,5.0198E6,4.6144E6,4.5247E6,1.00:0.98,34060,FBpp0312598
304,188,FBgn0015019,18.51,21,10,10,Carbamidomethylation; Oxidation (M),2.3313E7,1.8536E7,1.0748E7,7.767E6,7.9242E6,1.0007E7,3.6199E6,3.3887E6,1.00:1.26:0.46:0.43,2.0925E7,9.2577E6,8.9655E6,3.5043E6,1.00:0.39,59395,FBpp0082787
1222,1902,FBgn0010422,18.33,5,1,1,,2.0386E5,8.609E4,3.304E5,2.7096E5,2.0386E5,8.609E4,3.304E5,2.7096E5,1.00:0.42:1.62:1.33,1.4497E5,3.0068E5,1.4497E5,3.0068E5,1.00:2.07,34300,FBpp0080281
430,443,FBgn0034688,18.21,33,11,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.1167E7,1.8203E7,1.4709E7,2.388E7,3.8457E6,8.257E6,5.8861E6,1.1091E7,1.00:2.15:1.53:2.88,1.5109E7,1.9294E7,6.0513E6,8.4885E6,1.00:1.40,49411,FBpp0071715
1052,933,FBgn0030799,18.09,8,3,3,,1.8571E6,2.6541E6,4.267E6,2.0421E6,1.8571E6,2.6541E6,4.267E6,2.0421E6,1.00:1.43:2.30:1.10,2.2556E6,3.4416E6,2.2556E6,3.4416E6,1.00:1.53,38589,FBpp0074113
696,621,FBgn0250791,17.89,7,1,1,,1.7142E4,0,9.3369E4,0,1.7142E4,0,9.3369E4,0,1.00:0:5.45:0,1.7142E4,9.3369E4,1.7142E4,9.3369E4,1.00:5.45,33000,FBpp0074609
1200,1233,FBgn0031320,17.87,15,6,6,Oxidation (M),2.5178E6,4.2049E6,3.7667E6,5.2985E6,1.4722E6,3.2339E6,3.0922E6,3.4725E6,1.00:2.20:2.10:2.36,3.4857E6,4.5326E6,2.353E6,3.2823E6,1.00:1.39,52708,FBpp0077643
227,237,FBgn0026252,17.84,19,17,17,Carbamidomethylation; Oxidation (M),3.5027E7,4.5055E7,2.1127E7,2.3465E7,1.3473E7,1.7482E7,7.9772E6,6.1732E6,1.00:1.30:0.59:0.46,4.3018E7,2.2684E7,1.5477E7,7.0752E6,1.00:0.46,119310,FBpp0076408
670,519,FBgn0037301,17.78,4,4,4,,2.6295E6,1.9701E6,7.2489E5,2.411E6,2.2785E6,1.7634E6,6.6588E5,2.2346E6,1.00:0.77:0.29:0.98,2.2998E6,1.568E6,2.0209E6,1.4502E6,1.00:0.72,107048,FBpp0078425
278,646,FBgn0004867,17.73,39,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.2702E7,6.9351E6,3.1273E7,1.7565E7,1.638E7,5.9616E6,2.0266E7,1.0848E7,1.00:0.36:1.24:0.66,1.4819E7,2.4419E7,1.1171E7,1.5557E7,1.00:1.39,28900,FBpp0079500
1501,2259,FBgn0035370,17.49,15,3,3,Carbamidomethylation; Oxidation (M),2.3145E6,1.038E6,3.9001E6,2.2575E6,2.3145E6,1.038E6,3.9001E6,2.2575E6,1.00:0.45:1.69:0.98,1.7359E6,3.0788E6,1.7359E6,3.0788E6,1.00:1.77,27493,FBpp0072839
144,341,FBgn0004117,17.34,27,6,6,Oxidation (M),1.5897E7,5.3374E5,1.6201E7,9.3333E6,1.3707E7,1.7528E5,1.1722E7,7.5238E6,1.00:0.02:0.86:0.55,1.1376E7,1.2767E7,9.7808E6,9.6228E6,1.00:0.98,32807,FBpp0082535
257,283,FBgn0034733,17.16,14,14,14,Carbamidomethylation; Oxidation (M),1.2284E7,2.7297E7,7.9804E6,1.6086E7,4.7879E6,1.0111E7,4.4494E6,6.3203E6,1.00:2.11:0.93:1.32,2.0056E7,1.3209E7,7.4493E6,5.3848E6,1.00:0.72,139612,FBpp0071743
457,824,FBgn0034390,17.13,4,1,1,,1.9341E5,6.628E4,1.0459E6,3.848E4,1.9341E5,6.628E4,1.0459E6,3.848E4,1.00:0.34:5.41:0.20,1.2984E5,5.4218E5,1.2984E5,5.4218E5,1.00:4.18,33883,FBpp0085821
565,475,FBgn0265137,17.12,17,4,4,,2.5827E6,1.1325E6,7.9132E6,4.7981E6,2.3876E6,1.1325E6,7.489E6,4.6868E6,1.00:0.47:3.14:1.96,1.9551E6,6.3556E6,1.76E6,6.0879E6,1.00:3.46,47666,FBpp0085523
379,290,FBgn0001230,17.00,7,4,4,Carbamidomethylation,6.6086E6,2.7749E6,8.18E6,3.8804E6,5.7552E6,2.6423E6,8.0487E6,3.5464E6,1.00:0.46:1.40:0.62,4.6917E6,6.0302E6,4.1988E6,5.7976E6,1.00:1.38,69744,FBpp0083974
947,1058,FBgn0035904,16.93,8,2,2,,2.3037E6,2.6318E6,6.8733E6,1.9484E6,2.3037E6,2.6318E6,6.8733E6,1.9484E6,1.00:1.14:2.98:0.85,3.6781E6,4.4109E6,3.6781E6,4.4109E6,1.00:1.20,27722,FBpp0076348
613,520,FBgn0036299,16.88,3,2,2,,2.3904E5,4.6957E5,7.3487E4,1.5997E6,2.3904E5,4.6957E5,7.3487E4,1.5997E6,1.00:1.96:0.31:6.69,3.543E5,8.3658E5,3.543E5,8.3658E5,1.00:2.36,92325,FBpp0075698
746,738,FBgn0000273,16.83,13,4,4,,8.4596E6,3.2106E6,1.2865E7,9.6628E6,7.7579E6,3.2106E6,1.139E7,8.9119E6,1.00:0.41:1.47:1.15,6.1859E6,1.1264E7,5.4842E6,1.0151E7,1.00:1.85,40839,FBpp0079448
647,656,FBgn0037270,16.74,19,4,4,Carbamidomethylation,3.508E6,1.7509E6,4.0311E6,3.0194E6,2.9865E6,1.7434E6,3.6389E6,2.8718E6,1.00:0.58:1.22:0.96,2.6294E6,3.5253E6,2.365E6,3.2553E6,1.00:1.38,31105,FBpp0078532
